Date,Away,Away_Score,Away_3rdQ,Home,Home_Score,Home_3rdQ,Home_Team_Wins
1027,Cleveland Cavaliers,95,68,Chicago Bulls,97,71,1
1027,Detroit Pistons,106,82,Atlanta Hawks,94,66,0
1027,New Orleans Pelicans,95,75,Golden State Warriors,111,94,1
1028,Washington Wizards,88,65,Orlando Magic,87,67,0
1028,Philadelphia 76ers,95,67,Boston Celtics,112,79,1
1028,Indiana Pacers,99,68,Toronto Raptors,106,72,1
1028,Chicago Bulls,115,86,Brooklyn Nets,100,71,0
1028,Charlotte Hornets,94,60,Miami Heat,104,73,1
1028,Utah Jazz,87,64,Detroit Pistons,92,69,1
1028,San Antonio Spurs,106,83,Oklahoma City Thunder,112,79,1
1028,New York Knicks,122,90,Milwaukee Bucks,97,73,0
1028,Denver Nuggets,105,76,Houston Rockets,85,63,0
1028,Cleveland Cavaliers,106,79,Memphis Grizzlies,76,55,0
1028,New Orleans Pelicans,94,67,Portland Trail Blazers,112,87,1
1028,Dallas Mavericks,111,88,Phoenix Suns,95,66,0
1028,LA Clippers,111,85,Sacramento Kings,104,74,0
1028,Minnesota Timberwolves,112,88,Los Angeles Lakers,111,95,0
1029,Memphis Grizzlies,112,73,Indiana Pacers,103,75,0
1029,Atlanta Hawks,112,84,New York Knicks,101,72,0
1029,Dallas Mavericks,88,68,LA Clippers,104,85,1
1030,Miami Heat,92,67,Cleveland Cavaliers,102,76,1
1030,Utah Jazz,99,74,Philadelphia 76ers,71,53,0
1030,Oklahoma City Thunder,139,75,Orlando Magic,136,93,0
1030,Toronto Raptors,113,84,Boston Celtics,103,75,0
1030,Chicago Bulls,94,64,Detroit Pistons,98,64,1
1030,Washington Wizards,118,82,Milwaukee Bucks,113,92,0
1030,Charlotte Hornets,94,69,Atlanta Hawks,97,76,1
1030,Brooklyn Nets,75,64,San Antonio Spurs,102,76,1
1030,Minnesota Timberwolves,95,79,Denver Nuggets,78,63,0
1030,Golden State Warriors,112,81,Houston Rockets,92,65,0
1030,Los Angeles Lakers,114,83,Sacramento Kings,132,102,1
1030,Portland Trail Blazers,92,69,Phoenix Suns,110,83,1
1031,Utah Jazz,97,70,Indiana Pacers,76,61,0
1031,New York Knicks,117,87,Washington Wizards,110,90,0
1031,Golden State Warriors,134,105,New Orleans Pelicans,120,91,0
1031,Brooklyn Nets,91,69,Memphis Grizzlies,101,79,1
1031,Phoenix Suns,101,74,Portland Trail Blazers,90,71,0
1031,Sacramento Kings,109,79,LA Clippers,114,83,1
1101,Atlanta Hawks,94,70,Charlotte Hornets,92,76,0
1101,San Antonio Spurs,95,64,Boston Celtics,87,54,0
1101,Milwaukee Bucks,87,71,Toronto Raptors,106,81,1
1101,Houston Rockets,89,75,Miami Heat,109,75,1
1101,Orlando Magic,87,63,Chicago Bulls,92,75,1
1101,Denver Nuggets,93,70,Oklahoma City Thunder,117,95,1
1101,Dallas Mavericks,103,81,Los Angeles Lakers,93,64,0
1102,Cleveland Cavaliers,107,82,Philadelphia 76ers,100,72,0
1102,San Antonio Spurs,94,70,New York Knicks,84,65,0
1102,Milwaukee Bucks,103,80,Brooklyn Nets,96,80,0
1102,Oklahoma City Thunder,105,79,Houston Rockets,110,82,1
1102,Portland Trail Blazers,106,83,Minnesota Timberwolves,101,80,0
1102,Memphis Grizzlies,69,49,Golden State Warriors,119,93,1
1102,Phoenix Suns,96,72,LA Clippers,102,75,1
1103,Chicago Bulls,105,77,Charlotte Hornets,130,100,1
1103,Atlanta Hawks,98,79,Miami Heat,92,65,0
1103,Indiana Pacers,94,85,Detroit Pistons,82,67,0
1103,Orlando Magic,103,78,New Orleans Pelicans,94,69,0
1103,Toronto Raptors,102,74,Dallas Mavericks,91,73,0
1103,Memphis Grizzlies,103,83,Sacramento Kings,89,67,0
1103,Denver Nuggets,120,93,Los Angeles Lakers,109,83,0
1104,San Antonio Spurs,99,73,Washington Wizards,102,66,1
1104,Boston Celtics,98,72,Indiana Pacers,100,73,1
1104,New York Knicks,86,69,Cleveland Cavaliers,96,70,1
1104,Brooklyn Nets,87,70,Atlanta Hawks,101,72,1
1104,Philadelphia 76ers,87,67,Milwaukee Bucks,91,68,1
1104,Orlando Magic,114,88,Houston Rockets,119,90,1
1104,Toronto Raptors,103,73,Oklahoma City Thunder,98,81,0
1104,Portland Trail Blazers,108,76,Utah Jazz,92,68,0
1104,Sacramento Kings,97,69,Phoenix Suns,118,81,1
1104,LA Clippers,108,83,Golden State Warriors,112,82,1
1105,Oklahoma City Thunder,98,73,Chicago Bulls,104,76,1
1105,Miami Heat,96,73,Minnesota Timberwolves,84,61,0
1105,Charlotte Hornets,108,78,Dallas Mavericks,94,67,0
1105,Utah Jazz,96,65,Denver Nuggets,84,64,0
1105,Memphis Grizzlies,96,71,Portland Trail Blazers,115,90,1
1106,Toronto Raptors,87,69,Orlando Magic,92,64,1
1106,Los Angeles Lakers,104,79,Brooklyn Nets,98,72,0
1106,Washington Wizards,98,74,Boston Celtics,118,100,1
1106,Philadelphia 76ers,102,73,Cleveland Cavaliers,108,81,1
1106,Milwaukee Bucks,99,75,New York Knicks,92,73,0
1106,Miami Heat,87,68,Indiana Pacers,90,71,1
1106,Atlanta Hawks,121,89,New Orleans Pelicans,115,79,0
1106,Detroit Pistons,100,67,Phoenix Suns,92,63,0
1106,Houston Rockets,116,85,Sacramento Kings,110,78,0
1106,Denver Nuggets,104,75,Golden State Warriors,119,99,1
